x1,x2,lag,te_value,method,dataset
Y3,Y5,2,0.2287294337977919,TransferEntropy,dataset4_add_x4a
Y3,Y5,3,0.16265531592185298,TransferEntropy,dataset4_add_x4a
Y3,Y5,4,0.09911040918287453,TransferEntropy,dataset4_add_x4a
Y3,Y5,6,0.08363426131184151,TransferEntropy,dataset4_add_x4a
Y3,Y5,8,0.1203340610951101,TransferEntropy,dataset4_add_x4a
Y3,Y5,9,0.11695235791631678,TransferEntropy,dataset4_add_x4a
Y3,Y5,10,0.10474693398972341,TransferEntropy,dataset4_add_x4a
Y3,Y5,11,0.13465227433446758,TransferEntropy,dataset4_add_x4a
Y3,Y5,12,0.06499981576259717,TransferEntropy,dataset4_add_x4a
Y3,Y4a,1,0.094731889690785,TransferEntropy,dataset4_add_x4a
Y3,Y4a,2,0.07902835132347426,TransferEntropy,dataset4_add_x4a
Y3,Y4a,3,0.06472632384482582,TransferEntropy,dataset4_add_x4a
Y4,Y2,3,0.06714685776420572,TransferEntropy,dataset4_add_x4a
Y4,Y2,10,0.07191159478278024,TransferEntropy,dataset4_add_x4a
Y4,Y2,11,0.09780330954896113,TransferEntropy,dataset4_add_x4a
Y4,Y2,12,0.11203090427096853,TransferEntropy,dataset4_add_x4a
Y4,Y5,1,0.3782606088580358,TransferEntropy,dataset4_add_x4a
Y4,Y5,2,0.22784949011890676,TransferEntropy,dataset4_add_x4a
Y4,Y5,3,0.15364962580237226,TransferEntropy,dataset4_add_x4a
Y4,Y5,4,0.10985965340700732,TransferEntropy,dataset4_add_x4a
Y4,Y5,5,0.08189225804878207,TransferEntropy,dataset4_add_x4a
Y4,Y5,6,0.07128322784619594,TransferEntropy,dataset4_add_x4a
Y4,Y5,7,0.06835867848292669,TransferEntropy,dataset4_add_x4a
Y4,Y4a,3,0.07342228539720279,TransferEntropy,dataset4_add_x4a
Y5,Y3,1,0.10772991749149673,TransferEntropy,dataset4_add_x4a
Y4a,Y2,9,0.0701941479213165,TransferEntropy,dataset4_add_x4a
Y4a,Y2,10,0.10478459973826006,TransferEntropy,dataset4_add_x4a
Y4a,Y2,11,0.11127733419612296,TransferEntropy,dataset4_add_x4a
Y4a,Y2,12,0.09737184102133106,TransferEntropy,dataset4_add_x4a
Y4a,Y3,12,0.06328937779532859,TransferEntropy,dataset4_add_x4a
Y4a,Y4,4,0.06307971192997366,TransferEntropy,dataset4_add_x4a
Y4a,Y5,1,0.2269645638055669,TransferEntropy,dataset4_add_x4a
Y4a,Y5,2,0.192356690497434,TransferEntropy,dataset4_add_x4a
Y4a,Y5,3,0.1539677722245682,TransferEntropy,dataset4_add_x4a
Y4a,Y5,4,0.1257206457426314,TransferEntropy,dataset4_add_x4a
Y4a,Y5,5,0.07633027324300845,TransferEntropy,dataset4_add_x4a
Y4a,Y5,12,0.07231897096427552,TransferEntropy,dataset4_add_x4a
